#Magic 50 hr zenith<30 degree differential sensitivity taken from https://magic.mpp.mpg.de/newcomers/magic-team/technical-implementation0/ as recommended by Julian Sitarek 9/9/25. X units GeV Y units TeV cm^-2 s^-1.

50.11872336272722 1.791623512260071e-11
79.43282347242814 4.878785094572137e-12
125.89254117941675 2.526954386274709e-12
199.52623149688787 1.4532410679618576e-12
316.22776601683796 1.1612749687531262e-12
501.18723362727246 7.305271542664509e-13
794.3282347242813 6.197375232963931e-13
1258.9254117941675 5.336699231206346e-13
1966.753809283339 5.837592378488639e-13
3117.0947235801286 7.090050861192405e-13
4940.262207658594 7.990931403981011e-13
7829.787941891021 1.2702701826032024e-12
12409.377607517195 1.9306977288832613e-12
